1 1:-0.236000 2:0.540000
1 1:-0.454000 2:0.392000
1 1:-0.454000 2:0.392000
1 1:-0.454000 2:0.392000
1 1:-0.468000 2:0.446000
1 1:-0.468000 2:0.446000
1 1:-0.392000 2:0.578000
1 1:-0.392000 2:0.578000
1 1:-0.776000 2:0.448000
1 1:-0.776000 2:0.448000
1 1:0.612000 2:0.554000
1 1:0.612000 2:0.556000
1 1:0.548000 2:0.292000
1 1:0.548000 2:0.292000
1 1:0.334000 2:0.344000
1 1:0.334000 2:0.344000
1 1:0.334000 2:0.348000
1 1:0.402000 2:0.532000
0 1:0.360000 2:0.734000
0 1:0.428000 2:0.746000
0 1:0.492000 2:0.758000
0 1:0.594000 2:0.756000
0 1:0.446000 2:0.846000
0 1:0.580000 2:0.864000
