1	1:-60	2:-49	
1	1:-175	2:-136	
1	1:-29	2:-9	
1	1:-139	2:0	
1	1:-92	2:-76	
1	1:-35	2:-13	
1	1:-200	2:-197	
1	1:-22	2:-49	
1	1:0	2:0	
1	1:-45	2:-29	
1	1:-59	2:-74	
1	1:-61	2:-61	
1	1:-5	2:22	
1	1:-156	2:-150	
1	1:-192	2:-168	
1	1:-35	2:-24	
1	1:-39	2:-31	
1	1:25	2:40	
1	1:-164	2:-137	
1	1:-13	2:6	
1	1:-175	2:-139	
1	1:-157	2:-159	
1	1:-160	2:0	
1	1:-34	2:145	
1	1:-160	2:0	
1	1:-189	2:-165	
1	1:-32	2:-29	
1	1:-82	2:-60	
1	1:-55	2:-33	
1	1:-107	2:-134	
1	1:146	2:-98	
1	1:-87	2:-35	
1	1:-25	2:-62	
1	1:-25	2:-3	
1	1:-16	2:-1	
1	1:86	2:86	
1	1:-28	2:0	
1	1:-170	2:-143	
1	1:-60	2:-21	
1	1:-66	2:-51	
1	1:-27	2:-29	
1	1:-12	2:1	
1	1:-25	2:1	
1	1:-202	2:-165	
1	1:-47	2:-44	
1	1:-159	2:-144	
1	1:-15	2:0	
1	1:-2	2:27	
1	1:-94	2:95	
1	1:-176	2:0	
1	1:-38	2:137	
1	1:-184	2:0	
1	1:-91	2:-46	
1	1:-178	2:0	
1	1:-45	2:15	
1	1:-57	2:116	
1	1:-104	2:-54	
1	1:-183	2:0	
1	1:-68	2:119	
1	1:-47	2:-16	
1	1:-181	2:-151	
1	1:-51	2:-8	
1	1:-22	2:24	
1	1:-44	2:118	
1	1:-83	2:-39	
1	1:-84	2:-3	
1	1:-38	2:9	
1	1:156	2:-36	
1	1:-167	2:-139	
1	1:-101	2:-61	
1	1:-198	2:-161	
1	1:-219	2:-162	
1	1:-63	2:-33	
1	1:-66	2:-70	
1	1:-76	2:-50	
1	1:-75	2:69	
1	1:-41	2:-18	
1	1:-194	2:-158	
1	1:-55	2:119	
1	1:-41	2:-19	
1	1:-35	2:-30	
1	1:-69	2:104	
1	1:-67	2:-34	
1	1:-71	2:-79	
1	1:-71	2:-97	
1	1:-33	2:1	
1	1:-28	2:132	
1	1:-226	2:-194	
1	1:-79	2:-75	
1	1:-205	2:-208	
1	1:-67	2:107	
1	1:-49	2:123	
1	1:-68	2:-42	
1	1:-42	2:-27	
1	1:-57	2:100	
1	1:-212	2:-212	
1	1:-16	2:151	
